Column1,name,album,artist,release_date,length,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
0,欲望に満ちた青年団,ゼイタクビョウ,ONE OK ROCK,2007/11/21,202200,1,0.554,0.0479,0.752,0,0.364,-5.473,0.0303,87.985,4,0.694,1
1,リップサービス,ライトアップ,The Floor,2019/10/30,207498,1,0.494,0.00138,0.845,0.00000354,0.249,-3.974,0.0601,153.926,4,0.831,1
2,Answer,Answer,Lilas Ikuta,2021/3/9,246000,1,0.622,0.512,0.475,0,0.127,-6.199,0.036,79.954,4,0.388,1
3,Bye by me,strobo,Vaundy,2020/5/27,242415,1,0.634,0.375,0.655,0.0000141,0.109,-4.333,0.0229,96.016,4,0.691,1
4,怪獣の花唄,strobo,Vaundy,2020/5/27,224806,1,0.425,0.00361,0.939,0,0.331,-3.498,0.054,150.015,4,0.638,1
5,Impact,BEST,CHEHON,2016/5/25,291440,0,0.806,0.408,0.863,0,0.0755,-2.679,0.0518,122.03,4,0.928,1
6,君と羊と青,絶体絶命,RADWIMPS,2011/3/9,158186,1,0.412,0.00011,0.964,0.00052,0.157,-2.274,0.101,164.042,4,0.778,1
7,ユースレスマシン,ユースレスマシン,Humbreaders,2020/2/19,212413,0,0.459,0.00439,0.913,0,0.106,-4.163,0.0981,98.288,4,0.58,1
8,クラッカー・シャドー,クラッカー・シャドー,Kiro Akiyama,2019/6/19,277717,0,0.65,0.000548,0.828,0.00000689,0.119,-4.91,0.0722,122.012,4,0.727,1
9,Answer,Answer,Takaya Kawasaki,2021/3/22,248000,1,0.534,0.667,0.267,0,0.275,-9.943,0.0296,80.089,4,0.474,1
10,Bluma to Lunch,BLOOM SQUAD,BLOOM VASE,2020/12/19,159040,1,0.756,0.034,0.726,0.000455,0.119,-5.388,0.0489,123.98,4,0.792,1
11,グーの音,オーダーメイド,RADWIMPS,2008/1/23,169746,0,0.602,0.00161,0.935,0.0000154,0.335,-2.813,0.0461,104.021,4,0.843,1
12,05410-(ん),RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006/12/6,190453,1,0.599,0.000138,0.961,0.00000449,0.122,-2.843,0.0464,130.049,4,0.794,1
13,サイハテアイニ,ANTI ANTI GENERATION,RADWIMPS,2018/12/12,221160,1,0.247,0.000692,0.976,0,0.344,-2.598,0.204,193.843,4,0.329,1
14,週刊少年ゾンビ,SODA POP FANCLUB 3,Cidergirl,2020/1/15,253000,1,0.589,0.000587,0.88,0.000582,0.245,-5.423,0.111,142.92,4,0.6,1
15,カシスオレンジ,DOPAMINE,Laughing Hick,2019/12/18,219904,1,0.583,0.0242,0.732,0,0.104,-4.357,0.0535,125.536,4,0.589,1
16,悲しみなんて笑い飛ばせ,ファンキーモンキーベイビーズ 4,FUNKY MONKEY BABYS,2011/12/21,314800,1,0.506,0.0238,0.988,0,0.288,-1.726,0.0528,168.055,4,0.857,1
17,Oto No Naru Houe,Milk,Goose house,2015/2/25,216173,1,0.677,0.576,0.875,0,0.232,-4.023,0.0391,142.942,4,0.85,1
18,夕暮れに映して,From DROPOUT,Kiro Akiyama,2020/3/3,218080,1,0.535,0.000108,0.876,0.106,0.147,-2.657,0.0354,110.048,4,0.601,1
19,Question,Question,Amber’s,2021/4/16,212786,0,0.686,0.0405,0.858,0.0000426,0.225,-3.999,0.0356,100.041,4,0.805,1
20,オーシャンゼリゼ,アウトドア日和,宮 武弘,2018/4/25,224306,1,0.66,0.0141,0.885,0.0000409,0.138,-3.543,0.0283,120.019,4,0.768,1
21,シンデレラ,シンデレラ,Cidergirl,2021/10/8,212310,1,0.572,0.0141,0.955,0,0.315,-2.617,0.0626,129.981,4,0.717,1
22,Talking Box,檸檬の日々,WurtS,2021/3/17,141933,1,0.787,0.00477,0.718,0.00107,0.0895,-6.17,0.0395,140.002,4,0.47,1
23,W / X / Y,W / X / Y,Tani Yuuki,2021/5/26,279100,1,0.478,0.155,0.777,0,0.327,-4.48,0.0753,103.832,3,0.671,1
24,KAIBUTSUSAN,Anataninaritakatta,Ken Hirai,2021/5/12,246960,1,0.8,0.045,0.701,0,0.115,-3.721,0.0504,128.007,4,0.574,1
25,Todokanaikara,Anataninaritakatta,Ken Hirai,2021/5/12,244426,1,0.728,0.78,0.466,0,0.335,-7.015,0.0392,101.988,4,0.374,1
26,三原色,THE BOOK 2,YOASOBI,2021/12/1,220253,0,0.666,0.0836,0.923,0,0.315,-2.362,0.0712,128.014,4,0.861,1
27,Chinchoge,Chinchoge,DISH//,2021/10/24,231609,1,0.555,0.0408,0.834,0,0.346,-3.541,0.0299,120.039,4,0.771,1
28,ひなた,ひなた,SUPER BEAVER,2017/4/5,289226,1,0.544,0.00544,0.901,0,0.227,-3.555,0.0549,99.065,4,0.656,1
29,かわE,Tank-top Festival in JAPAN,Yabai T-Shirts Yasan,2018/12/19,201760,1,0.602,0.0334,0.989,0.000197,0.116,-1.005,0.0557,97.414,4,0.648,1
30,Love Song,Love Song,Uru,2021/8/5,286413,1,0.575,0.569,0.583,0,0.0894,-4.72,0.0309,137.766,4,0.39,1
31,Hug,TWELVE,Mrs. GREEN APPLE,2016/1/13,192906,0,0.627,0.165,0.777,0,0.243,-4.51,0.0282,112.996,4,0.614,1
32,透過夏,A,Guiano,2021/3/24,193760,1,0.743,0.17,0.807,0.0000312,0.0834,-6.25,0.0351,117.964,4,0.703,1
33,Speaking,TWELVE,Mrs. GREEN APPLE,2016/1/13,229240,1,0.436,0.000166,0.896,0,0.0757,-2.15,0.0928,173.015,4,0.771,1
34,Sakurabare,Sakurabare,Yuuri,2021/2/19,236000,1,0.612,0.914,0.334,0,0.111,-6.22,0.0297,79.933,4,0.569,1
35,Arino Manma Ga Itoshii Kimihe,Arino Manma Ga Itoshii Kimihe,DISH//,2021/9/24,230000,1,0.592,0.01,0.838,0,0.326,-4.142,0.0376,129.065,4,0.377,1
36,Kaiju,Kaiju,PEOPLE 1,2021/10/1,182726,0,0.661,0.00366,0.886,0.0113,0.353,-4.293,0.101,127.964,4,0.877,1
37,Saisei,Guitar,Humbreaders,2021/11/24,181760,1,0.478,0.00381,0.842,0,0.433,-3.342,0.0613,153.908,4,0.698,1
38,ズルい幻,ズルい幻,Meychan,2022/2/8,233949,1,0.668,0.0137,0.87,0,0.143,-2.941,0.0643,118.987,4,0.823,1
39,みどりの雨避け,Editorial,Official HIGE DANdism,2021/8/18,238266,1,0.583,0.289,0.458,0.00133,0.115,-11.544,0.0256,96.011,4,0.527,1
40,Happyendhenokitaiha,Happyendhenokitaiha,Macaroni Empitsu,2021/12/22,212569,1,0.393,0.0346,0.8,0,0.219,-4.247,0.0968,148.182,4,0.496,1
41,Agehachou,PORNO GRAFFITTI BEST BLUE'S,PornoGraffitti,2004/7/28,280506,0,0.718,0.218,0.98,0.00000426,0.301,-3.826,0.0491,115.989,4,0.925,1
42,ノーダウト,エスカパレード,Official HIGE DANdism,2018/4/11,202394,1,0.574,0.0585,0.936,0,0.336,-3.185,0.0701,149.954,4,0.792,1
43,Saudade,Pornograffitti 15th Anniversary All Time Singles,PornoGraffitti,2013/11/20,261920,0,0.598,0.0438,0.956,0,0.323,-4.17,0.0881,120.028,4,0.638,1
44,ホワイトアウト,my,reGretGirl,2017/12/13,211706,1,0.452,0.0217,0.955,0,0.0886,-2.012,0.0666,187.046,4,0.816,1
45,IKIJIBIKI,ANTI ANTI GENERATION,RADWIMPS,2018/12/12,229733,1,0.382,0.0000446,0.991,0,0.232,-2.623,0.0924,175.992,4,0.513,1
46,StaRt,はじめてのMrs. GREEN APPLE,Mrs. GREEN APPLE,2017/7/18,213426,1,0.426,0.0203,0.957,0.00000251,0.089,-1.444,0.0823,189.987,4,0.702,1
47,ツキマシテハ,In the Morning,Mrs. GREEN APPLE,2016/11/2,205760,0,0.389,0.025,0.954,0.00000156,0.29,-1.22,0.063,190.005,4,0.643,1
48,拝啓 Sweet Lovin',拝啓 Sweet Lovin',ソウルズ,2020/6/15,228960,1,0.626,0.014,0.851,0,0.296,-5.067,0.0445,104.946,4,0.739,1
49,Crayon,Crayon,ZOT on the WAVE,2022/2/4,176680,1,0.791,0.157,0.859,0.00000371,0.446,-4.524,0.0448,140.017,4,0.946,1
50,Ai Wo Tsutaetaidatoka,Excitement of Youth,Aimyon,2017/9/12,235240,1,0.673,0.0345,0.85,0.0000114,0.0943,-5.021,0.0337,100.008,4,0.793,1
51,分かってないよ,分かってないよ,WurtS,2021/5/5,209037,1,0.429,0.000219,0.919,0.000143,0.347,-4.087,0.0681,149.971,4,0.527,1
52,Aiyaiya,Aiyaiya,MONGOL800,2022/6/3,308809,1,0.319,0.00787,0.875,0,0.299,-3.473,0.0819,84.57,4,0.584,1
53,ダンスホール,ダンスホール,Mrs. GREEN APPLE,2022/5/23,203149,1,0.736,0.0209,0.695,0,0.0517,-3.87,0.0468,109.976,4,0.784,1
54,ココロノナカ,ココロノナカ,RADWIMPS,2020/6/3,72026,1,0.539,0.553,0.764,0,0.179,-5.324,0.057,150.105,4,0.535,1
55,Oh! Rival,Oh!Rival,PornoGraffitti,2015/4/15,295933,0,0.571,0.18,0.899,0.00000694,0.162,-3.891,0.0749,129.035,4,0.637,1
56,17さいのうた。,17さいのうた。,『ユイカ』,2022/5/29,309662,1,0.81,0.821,0.265,0.00000447,0.183,-8.477,0.0371,119.908,3,0.654,1
57,ハルカ,ハルカ,YOASOBI,2020/12/18,243613,1,0.712,0.0717,0.817,0.00000721,0.146,-5.123,0.0279,100.016,4,0.679,1
58,Believe,Believe,ARASHI,2009/3/4,284285,0,0.58,0.0854,0.968,0,0.248,-3.929,0.107,126.018,4,0.56,1
59,ultra soul,B'z The Best “Pleasure II”,B'z,2005/11/30,219943,0,0.585,0.0027,0.972,0.133,0.323,-4.33,0.0572,126.559,4,0.706,1
60,花唄,歌うたいが歌うたいに来て 歌うたえと言うが 歌うたいが歌うたうだけうたい切れば 歌うたうけれども 歌うたいだけ 歌うたい切れないから 歌うたわぬ!?,GReeeeN,2012/1/1,233640,1,0.395,0.0166,0.98,0,0.0751,-2.643,0.0811,194.936,4,0.506,1
61,I'm a mess,告白,MY FIRST STORY,2021/7/14,249480,0,0.515,0.0148,0.939,0,0.312,-4.046,0.0837,130.039,4,0.676,1
62,Folktale,Attitude,Mrs. GREEN APPLE,2019/10/1,267293,1,0.647,0.0322,0.874,0.000331,0.0798,-4.239,0.0266,98.981,4,0.804,1
63,Edison,Maneki Neko / Edison,WEDNESDAY CAMPANELLA,2022/2/25,193510,0,0.838,0.0195,0.729,0.0089,0.101,-5.733,0.0802,129.999,4,0.619,1
64,Good Goodbye,35xxxv (Deluxe Edition),ONE OK ROCK,2015/9/25,224253,1,0.609,0.0241,0.564,0.000002,0.0776,-5.344,0.0307,102.005,4,0.33,1
65,Letting Go,Eye of the Storm,ONE OK ROCK,2019/2/13,200253,1,0.79,0.324,0.688,0.0000496,0.0862,-6.272,0.0697,98.012,4,0.44,1
66,Worst in Me,Eye of the Storm,ONE OK ROCK,2019/2/13,189866,0,0.553,0.174,0.855,0.00000113,0.136,-4.039,0.0457,155.423,4,0.526,1
67,"A new one for all, All for the new one",ゼイタクビョウ,ONE OK ROCK,2007/11/21,285933,1,0.513,0.0232,0.394,0,0.282,-7.622,0.0318,179.942,4,0.247,1
68,Be the light,人生×僕=,ONE OK ROCK,2013/3/6,338920,1,0.454,0.00742,0.876,0,0.0854,-4.045,0.0403,82.022,4,0.42,1
69,O2,EXIST!,[Alexandros],2016/11/9,253200,1,0.3,0.874,0.344,0.000535,0.182,-11.253,0.032,64.215,4,0.196,1
70,12/26以降の年末ソング,Schwarzenegger,[Alexandros],2012/4/4,339000,1,0.585,0.229,0.613,0.00000334,0.118,-6.58,0.029,119.982,4,0.321,1
71,美術館,City,[Alexandros],2010/7/7,302466,1,0.448,0.801,0.412,0.0000189,0.329,-9.999,0.0354,141.999,4,0.153,1
72,rooftop,Bedroom Joule,[Alexandros],2020/6/21,324040,1,0.56,0.497,0.407,0.00114,0.102,-10.766,0.0316,79.067,4,0.105,1
73,PARTY IS OVER,Sleepless in Brooklyn,[Alexandros],2018/11/21,246226,1,0.626,0.000747,0.526,0,0.185,-5.571,0.0928,92.073,4,0.64,1
74,LAST MINUTE,Sleepless in Brooklyn,[Alexandros],2018/11/21,277373,1,0.598,0.00138,0.918,0.188,0.391,-4.55,0.0712,102.962,4,0.514,1
75,Leaving Grapefruits,ALXD,[Alexandros],2015/6/17,248333,1,0.667,0.136,0.789,0,0.0675,-5.596,0.0338,101.042,4,0.81,1
76,Oblivion,ALXD,[Alexandros],2015/6/17,218160,1,0.488,0.0000964,0.912,0.000993,0.608,-5.284,0.0491,144.999,4,0.401,1
77,can't explain,ALXD,[Alexandros],2015/6/17,178226,1,0.486,0.00168,0.893,0,0.109,-4.154,0.0592,149.85,4,0.662,1
78,Letter,Tragicomedy,SHE'S,2020/7/1,262386,1,0.605,0.271,0.647,0.359,0.108,-6.679,0.0245,112.038,4,0.495,1
79,White,Wandering,SHE'S,2017/12/6,262173,1,0.613,0.134,0.677,0.000417,0.0767,-5.751,0.025,109.995,4,0.248,1
80,One,Tragicomedy,SHE'S,2020/7/1,270133,1,0.584,0.185,0.768,0.0000428,0.368,-5.088,0.0319,95.037,4,0.517,1
81,Your Song,Tragicomedy,SHE'S,2020/7/1,281386,1,0.4,0.00281,0.811,0.0919,0.0722,-4.816,0.0348,183.634,4,0.466,1
82,鋼の羽根,鋼の羽根,RADWIMPS,2021/4/5,318319,1,0.517,0.677,0.504,0,0.23,-6.709,0.0598,153.749,4,0.409,1
83,猫じゃらし,猫じゃらし,RADWIMPS,2020/4/6,269773,1,0.501,0.895,0.462,0.0000774,0.118,-9.098,0.0411,149.952,4,0.27,1
84,あいたい,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021/3/11,309000,1,0.503,0.681,0.117,0,0.346,-9.519,0.0387,78.068,4,0.365,1
85,かくれんぼ,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021/3/11,375680,1,0.523,0.689,0.413,0,0.35,-6.807,0.036,148.04,4,0.275,1
86,夜の淵,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021/3/11,239973,1,0.554,0.871,0.222,0.000693,0.277,-13.004,0.0345,147.657,4,0.229,1
87,Teenage Love,HOURGLASS,UVERworld,2021/3/10,211493,0,0.643,0.0138,0.605,0.000176,0.0762,-6.617,0.0685,150.012,4,0.726,1
88,1999,1999,Hitsujibungaku,2018/12/5,289060,0,0.54,0.189,0.767,0.00000337,0.122,-4.075,0.0354,132,4,0.39,1
89,冬のあとがき,冬のあとがき,Ibe CALLER,2020/11/2,279333,1,0.509,0.485,0.62,0.00000129,0.108,-4.656,0.0317,75.015,4,0.463,1
90,小さな惑星,CEREMONY,King Gnu,2020/1/15,151773,1,0.615,0.0781,0.953,0.0194,0.198,-2.996,0.0545,119.957,4,0.766,1
91,ユーモア,CEREMONY,King Gnu,2020/1/15,207426,0,0.73,0.806,0.731,0.0000442,0.242,-6.325,0.0907,105.053,4,0.737,1
92,傘,CEREMONY,King Gnu,2020/1/15,203213,1,0.707,0.378,0.88,0,0.0459,-4.322,0.0486,105.082,4,0.686,1
93,Don't Stop the Clocks,Sympa,King Gnu,2019/1/16,136773,1,0.528,0.801,0.33,0.00000195,0.573,-9.24,0.0307,132.088,4,0.543,1
94,NIGHT POOL,Tokyo Rendez-Vous,King Gnu,2017/10/20,130345,1,0.477,0.338,0.379,0.0844,0.148,-13.023,0.0325,69.999,4,0.1,1
95,廻廻奇譚,廻廻奇譚,Eve,2020/10/3,219234,0,0.565,0.0128,0.919,0,0.292,-3.378,0.0898,92.325,4,0.565,1
96,X day,夜に魔法をかけられて,indigo la End,2013/2/6,227546,1,0.526,0.0014,0.877,0.011,0.168,-6.503,0.0345,157.878,4,0.861,1
97,omoikiri,Crying End Roll,indigo la End,2017/7/12,197040,1,0.466,0.000206,0.897,0.253,0.351,-2.989,0.0403,159.988,4,0.802,1
98,alice wa totsuzenni,anomachi record,indigo la End,2014/4/2,312600,1,0.47,0.000985,0.629,0.00177,0.0817,-5.11,0.0303,161.763,4,0.53,1
99,the tokyo tower,the Radio,Regal Lily,2017/7/5,279200,1,0.561,0.0187,0.733,0.0000127,0.182,-3.634,0.0351,130.008,4,0.385,1
0,空+B101:C102はまるで,空はまるで,Monkey Majik,2007-07-25,226960,1,0.662,0.234,0.675,0,0.21,-5.885,0.0451,92.016,4,0.61,2
1,花火,aikoの詩。,aiko,2019-06-05,281586,1,0.619,0.0912,0.959,0,0.0456,-3.597,0.109,96.056,4,0.508,2
2,浪漫飛行,KOMEGUNY,Kome Kome Club,1987,246840,1,0.708,0.117,0.649,0.00515,0.145,-11.854,0.0312,137.213,4,0.969,2
3,RIDE ON TIME,Listen To The Music 3,Noriyuki Makihara,2014,266613,0,0.683,0.339,0.672,0,0.281,-8.53,0.0299,120.009,4,0.786,2
4,Around The World,ENGLISH BEST,Monkey Majik,2012-12-05,221906,0,0.641,0.014,0.859,0.00000157,0.347,-5.602,0.048,96.983,4,0.961,2
5,rakuen babe,Good Job!,RIP SLYME,2005-08-31,284826,1,0.776,0.0936,0.884,0.000183,0.0459,-5.792,0.055,113.046,4,0.846,2
6,恋におちたら,Call me Miss...,Crystal Kay,2006-02-22,268786,1,0.575,0.0304,0.869,0,0.0815,-5.434,0.036,101.986,4,0.598,2
7,明日も,SHISHAMO 4,SHISHAMO,2017-02-22,369320,1,0.415,0.0142,0.857,0,0.0772,-1.696,0.048,178.919,4,0.663,2
8,高嶺の花子さん,ラブストーリー,back number,2014-03-26,294813,1,0.54,0.066,0.923,0,0.124,-2.838,0.0623,137.977,4,0.343,2
9,115万キロのフィルム,エスカパレード,Official HIGE DANdism,2018-04-11,324633,1,0.516,0.00345,0.791,0,0.141,-1.927,0.0318,96.921,4,0.48,2
10,Swingin',Swingin',LOVE PSYCHEDELICO,2020-04-15,249433,1,0.773,0.0242,0.853,0,0.203,-3.988,0.0301,123.792,4,0.937,2
11,Virtual Insanity - Remastered for 2006,High Times: Singles 1992-2006,Jamiroquai,2006-11-01,229360,1,0.659,0.123,0.949,0,0.133,-4.682,0.105,92.025,4,0.512,2
12,新宝島,魚図鑑,sakanaction,2018-03-28,302493,0,0.557,0.00118,0.917,0.00914,0.419,-3.426,0.0757,158,4,0.653,2
13,シュガーソングとビターステップ,UNISON SQUARE GARDEN The 1st Collection for streaming,UNISON SQUARE GARDEN,2019-10-11,253226,1,0.626,0.00369,0.89,0,0.0839,-3.285,0.0536,131.997,4,0.849,2
14,夏の思い出,ケツノポリス3,Ketsumeishi,2003-10-01,391733,1,0.686,0.171,0.909,0,0.553,-4.193,0.0541,94.009,4,0.818,2
15,NETTAIYA,FUNFAIR,RIP SLYME,2007-07-25,289946,1,0.656,0.0705,0.878,0.00104,0.0325,-4.035,0.0471,168.998,4,0.725,2
16,Shanghai Honey,All the Singles,ORANGE RANGE,2010-07-14,175586,1,0.708,0.0148,0.933,0.0000278,0.131,-3.462,0.078,129.98,4,0.844,2
17,STAY TUNE,THE KIDS,Suchmos,2017-01-25,297333,1,0.681,0.0288,0.938,0.000264,0.0634,-4.246,0.0557,122.991,4,0.6,2
18,TT - Japanese Ver.,#TWICE,TWICE,2017-06-28,212989,1,0.699,0.0807,0.856,0.00000872,0.44,-3.326,0.0608,129.96,4,0.331,2
19,Wake Me Up - Radio Edit,True,Avicii,2013-01-01,247426,1,0.532,0.0038,0.783,0.0012,0.161,-5.697,0.0523,124.08,4,0.643,2
20,ノーダウト,ノーダウト,Official HIGE DANdism,2018-04-11,201866,1,0.567,0.0763,0.937,0,0.326,-3.194,0.0705,149.92,4,0.787,2
21,A Perfect Sky,Every Single Day-Complete BONNIE PINK(1995-2006)-,BONNIE PINK,2006-05-10,247666,1,0.637,0.475,0.774,0,0.438,-5.641,0.0645,89.99,4,0.842,2
22,星にのせて,Slow & Easy,HIRAIDAI,2015-05-06,238026,0,0.757,0.724,0.561,0,0.869,-6.993,0.079,108.06,4,0.647,2
23,お二人Summer,ケツの嵐 ~夏BEST~,Ketsumeishi,2011-12-21,328840,0,0.673,0.00395,0.858,0,0.342,-3.475,0.0327,120.009,4,0.893,2
24,また君に会える,ケツの嵐 ~夏BEST~,Ketsumeishi,2011-12-21,340093,0,0.682,0.0623,0.964,0,0.166,-2.727,0.0378,105.988,4,0.878,2
25,君にBUMP,ケツの嵐 ~夏BEST~,Ketsumeishi,2011-12-21,371666,1,0.681,0.127,0.893,0.0000011,0.0557,-3.336,0.0344,96.014,4,0.864,2
26,ENDLESS SUMMER NUDE,I will Survive,Magokoro Brothers,1998-04-22,316706,1,0.64,0.0079,0.951,0.00000204,0.335,-6.345,0.0423,116.06,4,0.635,2
27,波乗りジョニー,TOP OF THE POPS,Keisuke Kuwata,2002-11-27,267966,1,0.483,0.0733,0.867,0,0.241,-5.546,0.0682,138.187,4,0.713,2
28,ボーイフレンド,夏服,aiko,2001-06-20,286773,1,0.742,0.0786,0.817,0.000114,0.329,-5.531,0.0305,120.04,4,0.834,2
29,恋のスーパーボール,aikoの詩。,aiko,2019-06-05,270520,0,0.659,0.0431,0.817,0,0.072,-4.647,0.0377,134.941,4,0.732,2
30,Good Time,The Midsummer Station,Owl City,2012-01-01,205933,1,0.554,0.0216,0.878,0.00000576,0.362,-4.271,0.134,126.045,4,0.682,2
31,I Really Like You,Emotion,Carly Rae Jepsen,2015-06-24,204773,1,0.622,0.00543,0.808,0.0000563,0.215,-4.701,0.0418,122.121,4,0.599,2
32,What Makes You Beautiful,What Makes You Beautiful,One Direction,2011-10-28,199213,1,0.725,0.00823,0.778,0,0.0731,-2.5,0.082,125,4,0.896,2
33,She's Kinda Hot,Sounds Good Feels Good (Deluxe),5 Seconds of Summer,2015-10-23,216454,1,0.666,0.00207,0.903,0,0.11,-4.82,0.0308,118.034,4,0.883,2
34,Marigold,Momentary Sixth Sense,Aimyon,2019-02-13,306626,1,0.545,0.0452,0.745,0,0.0907,-3.098,0.0286,106.094,4,0.413,2
35,Change,Change,ONE OK ROCK,2018-02-16,174627,1,0.357,0.00245,0.75,0,0.372,-4.971,0.0533,89.632,4,0.326,2
36,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015-01-12,269666,1,0.856,0.00801,0.609,0.0000815,0.0344,-7.223,0.0824,114.988,4,0.928,2
37,Live While We're Young,Live While We're Young,One Direction,2012-09-28,198946,1,0.66,0.0594,0.839,0,0.106,-2.058,0.0546,126.001,4,0.945,2
38,I Knew You Were Trouble.,Red (Deluxe Edition),Taylor Swift,2012-10-22,219720,0,0.622,0.00454,0.469,0.00000225,0.0335,-6.798,0.0363,77.019,4,0.679,2
39,22,Red (Deluxe Edition),Taylor Swift,2012-10-22,232120,1,0.661,0.00215,0.729,0.0013,0.0477,-6.561,0.0376,103.987,4,0.668,2
40,We Are Never Ever Getting Back Together,Red (Deluxe Edition),Taylor Swift,2012-10-22,193146,1,0.628,0.00957,0.676,0.0000265,0.121,-5.911,0.0916,85.984,4,0.75,2
41,Blank Space,1989 (Deluxe),Taylor Swift,2014-10-27,231826,1,0.76,0.103,0.703,0,0.0913,-5.412,0.054,95.997,4,0.57,2
42,Maps,V Japan Special Edition,Maroon 5,2015-07-22,189960,0,0.742,0.0205,0.713,0,0.059,-5.522,0.0303,120.032,4,0.879,2
43,Sugar,V Japan Special Edition,Maroon 5,2015-07-22,235493,1,0.748,0.0591,0.788,0,0.0863,-7.055,0.0334,120.076,4,0.884,2
44,Good Time,The Midsummer Station,Owl City,2012-01-01,205933,1,0.56,0.0239,0.872,0.00000698,0.371,-4.269,0.14,126.05,4,0.682,2
45,I Cry,Wild Ones (New Edition),Flo Rida,2012-06-22,223800,0,0.693,0.00616,0.822,0.00000179,0.315,-5.441,0.0439,126.035,4,0.763,2
46,Tell Me Baby,エスカパレード,Official HIGE DANdism,2018-04-11,281952,1,0.649,0.0209,0.81,0,0.267,-3.384,0.0346,100.004,4,0.915,2
