Column1,name,album,artist,release_date,length,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
47,メリッサ,PORNO GRAFFITTI BEST BLUE'S,PornoGraffitti,2004-07-28,274773,1,0.538,0.0102,0.927,0,0.0548,-3.913,0.0618,169.929,4,0.834,2
48,ミュージック・アワー,PORNO GRAFFITTI BEST RED'S,PornoGraffitti,2004-07-28,275866,1,0.623,0.0816,0.971,0,0.562,-4.156,0.0552,134.952,4,0.912,2
49,I LOVE...,I LOVE...,Official HIGE DANdism,2020-02-12,282026,1,0.54,0.0171,0.706,0,0.225,-5.235,0.0543,172.021,4,0.385,2
50,Happiness,"Dream""A""live",ARASHI,2008-04-23,258250,1,0.591,0.00649,0.915,0,0.0825,-3.018,0.0431,115.012,4,0.712,2
51,SIGNAL,Everybody!!,WANIMA,2018-01-17,219530,1,0.562,0.00419,0.935,0,0.322,-2.365,0.0525,97.513,4,0.655,2
52,スターラブレイション,ケラケライフ,Kera Kera,2013-10-16,275880,1,0.584,0.0532,0.986,0.000655,0.019,-0.385,0.0755,144.025,4,0.583,2
53,Cake By The Ocean,Cake By The Ocean,DNCE,2015-09-18,218440,0,0.774,0.163,0.748,0,0.0516,-5.478,0.0509,119.009,4,0.914,2
54,Wrapped Up (feat. Travie McCoy),Never Been Better,Olly Murs,2015-03-10,185640,1,0.787,0.0915,0.848,0,0.15,-4.696,0.0549,121.989,4,0.947,2
55,お嫁においで2015,加山雄三の新世界,Various Artists,2017-03-08,248847,1,0.721,0.15,0.911,0,0.116,-5.582,0.117,96.169,4,0.882,2
56,rakuen babe,GOOD TIMES,RIP SLYME,2010-08-04,287040,1,0.773,0.114,0.931,0.0000545,0.0518,-3.791,0.0586,113.048,4,0.864,2
57,天国のキッス,Seiko Matsuda sweet days,Seiko Matsuda,2018-01-31,238360,1,0.746,0.519,0.794,0.00048,0.332,-6.175,0.0297,123.136,4,0.667,2
58,助演男優賞,助演男優賞,Creepy Nuts,2017-02-01,239822,0,0.691,0.0415,0.902,0,0.425,-3.828,0.238,145.084,4,0.87,2
59,ドラえもん,ドラえもん,Gen Hoshino,2018-02-28,239933,1,0.64,0.00676,0.547,0.0000495,0.0585,-4.129,0.038,159.992,4,0.95,2
60,Sax On The Beach,Sax On The Beach,Party Pupils,2018-06-01,237155,0,0.753,0.0478,0.706,0.00000752,0.439,-3.981,0.0567,115.986,4,0.906,2
61,Sweet and Sour,Blank Envelope,Nulbarich,2019-02-06,218600,1,0.662,0.241,0.746,0,0.0952,-5.07,0.227,92.067,4,0.696,2
62,It's Who We Are,H.O.T,Nulbarich,2018-03-07,302266,1,0.801,0.0194,0.77,0.0000908,0.0876,-3.903,0.0448,108.004,4,0.816,2
63,Zero Gravity,H.O.T,Nulbarich,2018-03-07,233200,0,0.715,0.00894,0.816,0.0111,0.188,-4.83,0.0942,100.014,4,0.736,2
64,ain't on the map yet,H.O.T,Nulbarich,2018-03-07,272333,1,0.635,0.0417,0.823,0,0.225,-4.846,0.163,103.024,4,0.658,2
65,Lipstick,Guess Who?,Nulbarich,2016-09-12,244666,0,0.725,0.0537,0.689,0.00991,0.151,-5.283,0.0376,113.037,4,0.844,2
66,NEW ERA - English Version,Guess Who?,Nulbarich,2016-09-12,279066,0,0.621,0.118,0.692,0,0.107,-5.009,0.0426,98.045,4,0.663,2
67,風の便りをおしえて,風の便りをおしえて,Easycome,2016-09-24,281899,1,0.475,0.0859,0.851,0.0213,0.318,-3.417,0.0344,79.887,4,0.693,2
68,sinking sun,風の便りをおしえて,Easycome,2016-09-24,221693,1,0.624,0.188,0.816,0.218,0.139,-5.181,0.0263,109.996,4,0.968,2
69,pale,風の便りをおしえて,Easycome,2016-09-24,336042,1,0.627,0.369,0.731,0.00135,0.13,-5.141,0.0266,118.009,4,0.656,2
70,いつものように,風の便りをおしえて,Easycome,2016-09-24,248441,1,0.678,0.17,0.847,0.0000777,0.0934,-4.25,0.0275,114.009,4,0.794,2
71,ginger,お天気でした,Easycome,2017-08-09,250875,1,0.661,0.196,0.819,0.00000177,0.127,-3.28,0.0299,117.939,4,0.72,2
72,strange,お天気でした,Easycome,2017-08-09,301776,0,0.707,0.0531,0.814,0.000068,0.0741,-3.129,0.0286,112.975,4,0.736,2
73,お天気でした,お天気でした,Easycome,2017-08-09,272392,1,0.409,0.0272,0.562,0,0.138,-5.067,0.0289,147.972,4,0.663,2
74,モーニングコール,お天気でした,Easycome,2017-08-09,214005,1,0.7,0.339,0.838,0,0.0605,-3.499,0.034,119.009,4,0.86,2
75,旅気候,Easycome,Easycome,2019-07-17,245287,0,0.755,0.0794,0.728,0.00000888,0.122,-5.136,0.0272,119.938,4,0.903,2
76,Night Skip,Easycome,Easycome,2019-07-17,308249,1,0.652,0.0586,0.553,0.000104,0.101,-5.425,0.0235,91.973,4,0.747,2
77,Caravan,Easycome,Easycome,2019-07-17,244302,1,0.577,0.218,0.631,0,0.0292,-5.888,0.0303,169.848,4,0.912,2
78,雨を待つ,Easycome,Easycome,2019-07-17,230065,0,0.616,0.125,0.672,0,0.438,-5.411,0.0261,116.998,4,0.708,2
79,パラシュート,Easycome,Easycome,2019-07-17,212303,1,0.563,0.0635,0.797,0,0.379,-5.256,0.03,135.074,4,0.831,2
80,春になったら,Easycome,Easycome,2019-07-17,185041,1,0.718,0.109,0.772,0,0.07,-5.427,0.0303,119.068,4,0.828,2
81,Mellow Yellow,Mellow Yellow,SPiCYSOL,2018-07-04,223866,1,0.559,0.136,0.888,0.00000389,0.101,-6.647,0.0508,195.868,4,0.718,2
82,プラスティック・ラブ,CITY LIGHTS 2nd Season,Yuri Tanaka,2019-01-23,305960,0,0.665,0.243,0.853,0.0000056,0.142,-4.868,0.0313,101.973,4,0.793,2
83,怪物さん,怪物さん,Ken Hirai,2020-03-27,244926,1,0.8,0.0421,0.667,0,0.13,-5.414,0.0497,128.015,4,0.535,2
84,ストロー,湿った夏の始まり,aiko,2018-06-06,294946,0,0.553,0.394,0.951,0.00000633,0.324,-2.247,0.0627,136.112,4,0.745,2
85,キラキラ,キラキラ,aiko,2005-08-03,307360,1,0.609,0.14,0.803,0.0000248,0.333,-4.676,0.0321,103.942,4,0.551,2
86,Same Thing (feat. Superorganism),Same Thing,Gen Hoshino,2019-10-14,200133,1,0.794,0.0647,0.819,0,0.335,-5.494,0.0787,109.991,4,0.788,2
87,Down Town,YELLOW DANCER,Gen Hoshino,2015-12-02,231600,1,0.829,0.0227,0.654,0.00000104,0.0972,-8.973,0.043,132.924,4,0.735,2
88,風をあつめて,風街ろまん,はっぴいえんど,2002-09-11,246333,1,0.724,0.652,0.457,0.0000508,0.134,-7.64,0.0297,91.756,4,0.848,2
89,青い珊瑚礁,SQUALL,Seiko Matsuda,1980-08-01,222506,1,0.642,0.399,0.701,0.0000671,0.135,-5.06,0.0282,137.159,4,0.768,2
90,渚のバルコニー,Pineapple,Seiko Matsuda,1982-05-21,226746,1,0.705,0.393,0.72,0.0000049,0.164,-6.244,0.0276,129.343,4,0.802,2
91,不可思議スウィート・トゥーフ,トリビア,Kotaro,2020-03-11,279567,0,0.621,0.0148,0.774,0.0000146,0.0571,-6.218,0.0363,92.019,4,0.854,2
92,Apology,トリビア,Kotaro,2020-03-11,254026,0,0.542,0.00175,0.907,0.0134,0.0683,-5.52,0.0297,136.573,4,0.766,2
93,ダンサーインザルーム,夢が醒めたら,ZOOKARADERU,2018-11-21,200800,1,0.663,0.00727,0.969,0.00000504,0.267,-2.328,0.0696,120.833,4,0.735,2
94,Best of My Love,Rejoice,The Emotions,1977-06-10,220560,1,0.784,0.447,0.713,0.14,0.0904,-6.865,0.0339,115.443,4,0.97,2
95,エモめの夏,エモめの夏,Lucky Kilimanjaro,2020-07-01,147951,1,0.741,0.00456,0.527,0,0.211,-5.474,0.049,113.018,4,0.655,2
96,遠心,hope,Macaroni Empitsu,2020-04-01,215586,0,0.627,0.101,0.882,0,0.27,-2.653,0.0729,134.01,4,0.755,2
97,サマージャム'95,5th WHEEL 2 the COACH Standard of 90's,SCHA DARA PARR,1995,362893,1,0.789,0.26,0.889,0.00251,0.113,-5.861,0.179,95.25,4,0.689,2
98,lak,PLANET,CHIAKI SATO,2019-11-13,201280,1,0.592,0.724,0.376,0.00000224,0.189,-11.468,0.0289,154.122,4,0.436,2
99,イッサイガッサイ,愛・自分博,KREVA,2006-02-01,184000,0,0.56,0.381,0.745,0,0.213,-6.464,0.257,89.997,4,0.824,2
0,ブルーベリー・ナイツ,LiKE,Macaroni Empitsu,2019-02-13,244880,1,0.66,0.311,0.862,0,0.102,-3.661,0.0278,106.032,4,0.787,3
1,ryoukiteki na kiss wo watashi ni shite,ryoukiteki na kiss wo watashi ni shite,Gesu No Kiwami Otome,2014-08-06,237440,1,0.675,0.0372,0.702,0,0.052,-3.152,0.0418,137.989,4,0.835,3
2,Kao De Mushi Ga Shinu,HOUSE,yonige,2018-10-03,211100,1,0.435,0.00627,0.857,0.0000446,0.545,-4.71,0.0448,179.912,4,0.609,3
3,Nigatsu No Suisou,HOUSE,yonige,2018-10-03,228966,0,0.596,0.000466,0.889,0.00000342,0.0501,-5.515,0.0544,94.026,4,0.671,3
4,kanashiku naru maeni,Aiiro Music,indigo la End,2016-06-08,218946,0,0.387,0.0146,0.933,0.0000053,0.188,-3.398,0.187,87.026,4,0.701,3
5,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,2016-01-29,217706,0,0.728,0.621,0.563,0,0.179,-8.053,0.134,100.017,4,0.352,3
6,ゴールデンタイムラバー,POPMAN’S WORLD ~All Time Best 2003-2013~,Sukima Switch,2013-08-21,339720,0,0.647,0.00536,0.864,0,0.403,-5.19,0.0296,125.095,4,0.767,3
7,雨、キミを連れて,Extra terrestrial Biological Entities,EGOIST,2012-09-19,255880,1,0.5,0.0937,0.89,0.000291,0.0715,-5.856,0.0492,92,4,0.216,3
8,Speed of flow,Speed of flow,ロデオキャブレター,2008-02-14,230040,0,0.251,0.00348,0.945,0.0000388,0.0891,-2.335,0.116,138.887,4,0.128,3
9,omoikiri,Crying End Roll,indigo la End,2017-07-12,197040,1,0.466,0.000206,0.897,0.253,0.351,-2.989,0.0403,159.988,4,0.802,3
10,勿忘,Grower,Awesome City Club,2021-02-10,251533,0,0.448,0.234,0.447,0,0.382,-7.161,0.045,78.861,4,0.299,3
11,unknown,SINCE2,Spangle Call Lilli Line,2013-06-12,306960,1,0.52,0.699,0.542,0.0521,0.156,-8.929,0.0344,143.095,4,0.291,3
12,夜永唄,ラムダに対する見解,KAMI WA SAIKORO WO FURANAI,2019-05-22,270754,1,0.531,0.525,0.487,0,0.0935,-6.744,0.0406,134.9,4,0.521,3
13,雨とカプチーノ,雨とカプチーノ,ヨルシカ,2019-08-02,272293,1,0.485,0.35,0.781,0.000542,0.249,-5.755,0.0531,199.961,4,0.745,3
14,嘘なき,hope,Macaroni Empitsu,2020-04-01,171484,1,0.763,0.797,0.242,0,0.308,-11.24,0.0493,96.873,4,0.451,3
15,Hyohaku,Excitement of Youth,Aimyon,2017-09-12,291240,1,0.582,0.0195,0.503,0,0.349,-5.939,0.029,82.499,4,0.502,3
16,umbrella,サママ・フェスティバル!,Mrs. GREEN APPLE,2016-06-15,309893,1,0.425,0.0422,0.676,0,0.088,-2.779,0.0286,151.925,4,0.627,3
17,A Lost Dog and Beats of the Rain,Maigoinu to Ame no Beat,ASIAN KUNG-FU GENERATION,2010-05-26,296893,1,0.452,0.0257,0.848,0.000326,0.135,-3.346,0.0362,121.296,4,0.575,3
18,雨と花束,サイダーのしくみ,Cidergirl,2016-10-12,320013,1,0.594,0.301,0.639,0.00000153,0.0872,-5.851,0.0287,75.981,4,0.0724,3
19,雨のあと,REVIVAL,KOTORI,2019-10-09,276224,1,0.672,0.0135,0.522,0.0272,0.0788,-8.151,0.0337,115.018,4,0.155,3
20,いつも雨,STORY,never young beach,2019-05-08,252900,1,0.844,0.559,0.424,0.0413,0.107,-13.726,0.0329,110.026,4,0.791,3
21,drizzle - feat.有明,シティボーイズ・オン・ザ・ラン,Cody・Lee(李),2019-06-12,277946,1,0.543,0.0329,0.614,0.00000362,0.0649,-5.468,0.0432,79.994,4,0.672,3
22,雨が降るなら踊ればいいじゃない,DAILY BOP,Lucky Kilimanjaro,2021-03-31,246863,1,0.771,0.295,0.633,0.0000149,0.434,-8.584,0.0957,109,4,0.665,3
23,Sora,Sora,Taichi Mukai,2017-10-27,296031,0,0.509,0.0218,0.803,0,0.648,-4.702,0.13,172.233,4,0.604,3
24,kokoroame,Aiiro Music,indigo la End,2016-06-08,290640,1,0.49,0.0805,0.602,0.0761,0.194,-6.612,0.0349,151.998,4,0.529,3
25,傘拍子,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,242600,1,0.47,0.0754,0.627,0.0000439,0.257,-5.995,0.028,135.971,3,0.42,3
26,Arashino Atode,Sharinno Jiku,Galileo Galilei,2016-06-15,312413,1,0.472,0.00382,0.601,0.00284,0.137,-6.573,0.0276,150.007,4,0.386,3
27,雨は気まぐれ,Night Fishing,sakanaction,2008-01-23,237815,1,0.743,0.0356,0.752,0.000011,0.104,-4.312,0.0743,125.972,4,0.799,3
28,雨,トンネルを抜けたら,Hitsujibungaku,2017-10-04,286000,0,0.547,0.0218,0.862,0.0329,0.153,-3.079,0.0562,140.035,4,0.513,3
29,チロルとポルノ,死ぬまで一生愛されてると思ってたよ,Creep Hyp,2012-04-18,218732,1,0.465,0.00771,0.819,0,0.165,-4.435,0.0329,149.976,4,0.828,3
30,紫陽花,紫陽花,Kyanai,2022-05-11,174677,0,0.636,0.102,0.841,0,0.0278,-7.224,0.0302,101.996,4,0.885,3
31,Rainy Runway,Rainy Runway,KIRINJI,2022-06-22,241680,1,0.82,0.373,0.557,0.0374,0.16,-7.432,0.0303,106.966,4,0.549,3
32,Ame(A),月の波形 ~Coupling & Unreleased works~,sakanaction,2015-08-05,211493,1,0.637,0.521,0.454,0,0.0542,-5.192,0.0389,133.973,4,0.696,3
33,真夏の通り雨,Fantôme,Hikaru Utada,2016-09-28,338346,0,0.288,0.797,0.329,0,0.121,-11.782,0.0309,145.661,4,0.551,3
34,ばらの花,TEAM ROCK,Quruli,2001-02-21,301106,1,0.662,0.014,0.615,0.406,0.58,-6.283,0.0347,125.066,4,0.679,3
35,Umbrella,artless,WONK,2022-05-11,330428,1,0.709,0.927,0.16,0.024,0.121,-15.462,0.0379,139.937,4,0.436,3
36,東京,大衆音楽,PEOPLE 1,2019-12-27,198636,1,0.686,0.084,0.561,0.000102,0.0625,-9.594,0.0324,127.998,4,0.581,3
37,天気雨 -Still Love me- (feat. ひかり),天気雨 -Still Love me- (feat. ひかり),Tokimeki Records,2022-06-22,201355,1,0.747,0.0437,0.639,0.000121,0.0629,-7.34,0.0288,118.01,4,0.775,3
38,Lonely In The Rain,Lonely In The Rain,Nyanzonu Deshi,2021-06-22,315083,1,0.457,0.515,0.249,0.00000301,0.131,-8.952,0.0285,139.364,4,0.25,3
39,Artist,Artist,PUTAINS,2021-04-28,221022,1,0.573,0.792,0.497,0.0000277,0.36,-8.164,0.0637,80.003,4,0.685,3
40,雨,雨,Keishi Tanaka,2022-06-15,267575,1,0.633,0.206,0.681,0.00272,0.127,-8.33,0.0337,102.055,4,0.676,3
41,Hail [feat. (sic)boy],Hail [feat. (sic)boy],AAAMYYY,2022-06-01,381030,1,0.512,0.0341,0.855,0,0.32,-6.762,0.0571,137.974,4,0.415,3
42,水色と空色,水色と空色,Fumiya Fujii,2022-05-25,281466,1,0.304,0.429,0.491,0.000659,0.289,-8.299,0.0293,174.748,4,0.216,3
43,Rainy,Rainy,UEBO,2018-04-18,203413,1,0.78,0.159,0.537,0,0.125,-6.047,0.0387,91.979,4,0.799,3
44,Pale Rain,Pale Rain,imase,2022-04-02,221460,1,0.7,0.035,0.648,0.000409,0.13,-8.711,0.0722,144.456,4,0.54,3
45,WITH THE RAINBOW,WITH THE RAINBOW,CIRGO GRINCO,2022-06-12,256390,1,0.597,0.207,0.604,0.00000424,0.11,-8.214,0.0422,179.997,4,0.7,3
46,雨のビート,雨のビート,sty,2021-06-04,202588,1,0.63,0.203,0.524,0,0.0833,-8.183,0.102,169.961,4,0.718,3
47,Standby,Standby,Masaki Suda,2022-06-06,262880,1,0.687,0.915,0.152,0,0.11,-11.006,0.0366,76.976,4,0.636,3
48,きみと雨,きみと雨,上野大樹,2022-06-29,247565,1,0.717,0.613,0.686,0,0.357,-7.362,0.033,110.992,4,0.695,3
49,紫陽花,梅雨,GI-ON,2020-07-09,139629,1,0.772,0.833,0.523,0.938,0.108,-10.127,0.0434,91.998,4,0.123,3
50,LOUDER,LOUDER,SPiCYSOL,2022-06-08,235700,0,0.632,0.0664,0.388,0,0.292,-9.042,0.0493,91.092,4,0.284,3
51,Rain,FEEL GOOD,SIRUP,2019-05-29,241946,0,0.789,0.284,0.655,0,0.11,-5.663,0.149,111.986,4,0.799,3
52,雨,"Where, Who, What Is Petrolz?",Various Artists,2017-03-22,342026,0,0.68,0.475,0.417,0.00177,0.103,-7.256,0.0399,77.006,4,0.549,3
53,雨のせい、ぜんぶ,雨のせい、ぜんぶ,Zenya,2021-05-26,210000,1,0.67,0.732,0.506,0.00000919,0.373,-7.002,0.271,84.878,4,0.338,3
54,雨に唄えば,雨に唄えば,Roomania,2021-06-12,231583,1,0.646,0.117,0.745,0,0.235,-5.11,0.0257,102.005,4,0.738,3
55,Beautiful Rain,Beautiful Rain,Asilo,2021-11-03,237336,1,0.678,0.375,0.628,0,0.672,-5.958,0.054,141.976,4,0.563,3
56,rainy rainy rainy blues,KOE,CHIAKI SATO,2021-09-14,320746,1,0.764,0.271,0.692,0.0018,0.113,-5.488,0.0321,120.993,4,0.52,3
57,Rain,SIRUP EP2,SIRUP,2018-08-01,242433,0,0.792,0.057,0.571,0,0.108,-7.468,0.151,112.03,4,0.726,3
58,Rain,Views of Panorama,Hikaru Arata,2021-07-20,259047,1,0.322,0.0174,0.484,0.00000196,0.845,-7.675,0.0357,124.851,4,0.14,3
59,ROLLING,US,OTOGIVANASHI,2022-06-22,147029,1,0.739,0.143,0.743,0,0.138,-5.867,0.0273,113.997,4,0.71,3
60,雨上がり,電影港湾地区,BOAT,2020-07-08,304000,1,0.669,0.0176,0.374,0.0000527,0.308,-13.321,0.0662,123.897,4,0.34,3
61,Summer Rain Diver,Tokyo Rendez-Vous,King Gnu,2017-10-20,257265,1,0.532,0.00219,0.506,0.000772,0.0781,-5.89,0.0309,120.037,4,0.276,3
62,rain parade,mind game,Hiroya Komeiji,2003-06-18,362360,1,0.336,0.0000155,0.758,0,0.22,-4.662,0.0295,166.116,4,0.417,3
63,Ame(B),シンシロ,sakanaction,2009-03-04,216986,0,0.518,0.000336,0.862,0.0213,0.243,-5.267,0.0446,130.001,4,0.752,3
64,Tokyo Ha Ame,Genie High,Genie High,2018-10-17,257626,1,0.786,0.123,0.732,0.0000657,0.0898,-3.617,0.0278,131.981,4,0.603,3
65,雨,A little bit,Kuhakugokko,2020-07-29,226000,1,0.536,0.0216,0.962,0.00000407,0.16,-3.543,0.122,185.989,4,0.58,3
66,Pouring Rain,Pouring Rain,ZIN,2021-04-26,299020,1,0.479,0.047,0.443,0.00000691,0.104,-9.239,0.0273,92.959,4,0.193,3
67,Rain,SIRUP EP2,SIRUP,2018-08-01,242433,0,0.792,0.057,0.571,0,0.108,-7.468,0.151,112.033,4,0.726,3
68,RAINBOW,IMAGINE,TENDRE,2021-09-29,261146,0,0.723,0.879,0.175,0.0000944,0.0998,-13.489,0.0678,121.879,3,0.262,3
69,ネオンを消して,the youth night,chilldspot,2020-11-25,203846,1,0.531,0.601,0.424,0.00000256,0.366,-9.026,0.0955,140.114,4,0.266,3
70,かたつむり,かたつむり,Kiwokuza,2021-05-31,212500,1,0.75,0.734,0.31,0.0412,0.11,-11.747,0.0301,119.982,4,0.0966,3
71,雨が降りそう,雨が降りそう,Sunny Day Service,2020-01-16,304647,1,0.595,0.25,0.682,0.00412,0.146,-8.056,0.0435,141.923,4,0.503,3
72,雨時雨,雨時雨,映秀。,2021-06-07,258480,1,0.475,0.0937,0.578,0.000017,0.158,-6.752,0.0352,160.352,5,0.33,3
73,dousenara amega yokatta,DADABABY,DADARAY,2019-10-02,232933,0,0.618,0.0437,0.871,0.000418,0.306,-2.471,0.0336,140.019,4,0.701,3
74,すべからく通り雨,すべからく通り雨,グソクムズ,2021-11-10,220000,1,0.567,0.0124,0.597,0,0.323,-9.937,0.0338,121.11,4,0.604,3
75,儚い紫陽花,Adore,Misako Odani,2005,296866,1,0.545,0.954,0.132,0,0.109,-10.69,0.0361,85.953,4,0.175,3
76,RAINY DAY,RAINY DAY,gb,2020-03-11,156842,0,0.786,0.00592,0.631,0,0.0744,-5.4,0.131,90.096,4,0.598,3
77,夢の花,ヘッドフォンチルドレン,THE BACK HORN,2006,277000,0,0.642,0.0212,0.92,0.00000143,0.117,-3.789,0.0365,117.016,4,0.703,3
78,ナラタージュ,ナラタージュ,adieu,2017-08-24,340746,1,0.636,0.676,0.273,0.00000416,0.0761,-9.612,0.0349,65.997,4,0.307,3
79,Hanagasa,Nureyuku Shisyousetsu,indigo la End,2019-10-09,280552,0,0.681,0.0788,0.822,0,0.367,-4.467,0.0355,125.887,4,0.561,3
80,スパークル,人間開花,RADWIMPS,2016-11-23,408200,1,0.433,0.733,0.503,0,0.12,-5.919,0.0361,126.664,4,0.228,3
81,虹,歓声前夜,SUPER BEAVER,2018-06-27,187359,1,0.387,0.000356,0.97,0,0.274,-2.706,0.0751,98.135,4,0.283,3
82,ハルジオン,jupiter,BUMP OF CHICKEN,2002-02-20,275933,1,0.271,0.0303,0.969,0.00049,0.301,-2.539,0.0678,180.057,4,0.48,3
83,色水,thirsty,Oisicle Melonpan,2016-12-07,215066,0,0.586,0.0122,0.864,0.00203,0.13,-4.685,0.0319,106.298,4,0.95,3
84,曇りのち,サラダデイズ,Saucy Dog,2018-05-23,226320,1,0.718,0.386,0.596,0,0.114,-6.11,0.0306,103.951,4,0.791,3
85,雨中のきらめき,PORTAL HEART,LAMP IN TERREN,2014-06-25,263986,1,0.512,0.0589,0.572,0.0000587,0.116,-5.75,0.0285,171.996,4,0.729,3
86,Over the rain~ひかりの橋~,Unreal,flumpool,2008-11-19,278986,1,0.34,0.00168,0.586,0.00000557,0.0839,-4.482,0.0308,142.097,4,0.345,3
87,あしたてんきになれ,to the MOON e.p.,Yogee New Waves,2019-12-04,232770,1,0.677,0.00204,0.693,0.00268,0.104,-5.188,0.0283,96.979,4,0.949,3
88,曇り夜空は雨の予報,SHISHAMO 6,SHISHAMO,2020-01-29,333160,1,0.383,0.115,0.751,0,0.264,-3.078,0.0342,171.739,4,0.551,3
89,青い空,andymori,andymori,2009-02-04,177760,1,0.61,0.196,0.662,0.000685,0.143,-7.381,0.0277,117.951,4,0.348,3
90,雨あがり,Can Not Behaved!!,WANIMA,2014,114133,1,0.44,0.00223,0.879,0,0.344,-2.763,0.104,113.757,4,0.808,3
91,風の日,ELLEGARDEN BEST 1999-2008,ELLEGARDEN,2008-07-02,252453,1,0.392,0.00543,0.943,0.000266,0.0819,-3.435,0.093,153.984,4,0.24,3
92,雨音子,アルトコロニーの定理,RADWIMPS,2009-03-11,228946,1,0.618,0.0133,0.726,0,0.109,-4.838,0.0358,123.041,4,0.667,3
93,Amegaagarukoroni,PLAY(Special Edition),Masaki Suda,2018-03-21,263986,1,0.564,0.00761,0.844,0,0.193,-2.674,0.0307,135.059,4,0.754,3
94,雨跡,Waves,Ayumu Imazu,2020-09-18,245052,1,0.268,0.42,0.53,0,0.147,-6.193,0.0452,150.117,4,0.506,3
95,AOZORA,AOZORA,THE HAJIMALS,2022-04-27,264331,1,0.687,0.244,0.5,0,0.0991,-10.819,0.0555,127.038,4,0.506,3
96,Naked Heart,Heard that there's good pasta,Aimyon,2020-09-09,296653,1,0.559,0.537,0.448,0.0000185,0.0915,-4.11,0.0275,148.02,4,0.354,3
97,So Far,yet,maeshima soshi,2022-04-15,202838,0,0.836,0.0306,0.63,0,0.0966,-7.332,0.142,104.999,4,0.53,3
98,Ameno Wednesday,A LONG VACATION,大滝詠一,2021-03-21,266480,0,0.586,0.17,0.62,0.00278,0.131,-8.366,0.0291,102.22,4,0.391,3
99,yogisha wa hashiru,shiawasega afuretara,indigo la End,2015-02-04,253986,1,0.434,0.00251,0.851,0.00000318,0.346,-3.495,0.043,138.109,4,0.558,3
